probe,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,direction
8037408,KCNN4,-1.2707933333333299,8.795176666666665,-21.367873967090024,1.2382777157925492e-07,2.265435884766182e-05,Down
8164343,FAM102A,1.3686233333333355,10.369121666666667,21.17003474538803,1.3204241399781477e-07,2.3910390248805347e-05,Up
7956301,LRP1,1.2213733333333348,10.032846666666666,21.16801616306766,1.321293751923652e-07,2.3910390248805347e-05,Up
7973850,AKAP6,1.9085733333333332,8.216843333333333,21.150951776732313,1.328671312356535e-07,2.3913929020289486e-05,Up
8003844,HASPIN,-1.8336166666666662,8.783551666666666,-21.08776425036703,1.3564017779281137e-07,2.4197822701612272e-05,Down
8082965,MRAS,1.3920100000000004,8.724881666666667,21.081966363553793,1.3589791408239465e-07,2.4197822701612272e-05,Up
8170971,DKC1,-1.3714499999999958,10.650141666666665,-21.059841965011334,1.36886567814269e-07,2.4244213023998483e-05,Down
7936529,SHTN1,1.4779600000000006,10.551986666666666,20.97648069634222,1.4068607876493572e-07,2.478531409860352e-05,Up
7973067,PNP,-1.4847866666666658,10.103306666666667,-20.949572746456315,1.419380936636129e-07,2.4874277393249046e-05,Down
8006187,ATAD5,-1.7139999999999995,8.658563333333333,-20.92039604317688,1.4331005945667528e-07,2.498322015564878e-05,Down
8108749,PCDHB18P,1.5663800000000014,8.175003333333335,20.868928988445372,1.4576722488151558e-07,2.5279225452499087e-05,Up
8024900,UHRF1,-2.145326666666668,10.35107,-20.848814912227915,1.4674055677964942e-07,2.5316167456435165e-05,Down
8063437,TSHZ2,1.7278699999999996,7.234501666666667,20.694586710566714,1.5445512849142806e-07,2.6498271525709573e-05,Up
8072687,,-1.6835499999999977,9.781225000000001,-20.68047065204561,1.5518403902794145e-07,2.6498271525709573e-05,Down
7994981,ORAI3,1.8063766666666663,10.057745,20.628424151440854,1.579056774349663e-07,2.6820039072245775e-05,Up
7946292,CYB5R2,-2.449100000000001,8.508326666666667,-20.613814869563623,1.5867939145365703e-07,2.6820039072245775e-05,Down
7932512,,1.208256666666666,10.109471666666666,20.549128367726563,1.6215759635213188e-07,2.7269502453216843e-05,Up
8099912,SMIM14,1.7834866666666698,9.042606666666666,20.499570751214645,1.6488121117138063e-07,2.7588189388811363e-05,Up
8111915,SELENOP,2.86302,6.129943333333333,20.483668886161098,1.657661860665804e-07,2.7597583487294638e-05,Up
8127031,MCM3,-1.5030333333333357,10.230316666666667,-20.44140975776538,1.6814445613904434e-07,2.7850990072598727e-05,Down
7961514,MGP,3.0130066666666657,10.379763333333333,20.427054789387295,1.6896116751253693e-07,2.7850990072598727e-05,Up
8024843,,-1.5169500000000022,9.309825,-20.40954834815424,1.6996331017579138e-07,2.787816915725776e-05,Down
8020847,DTNA,2.0218599999999993,7.411840000000001,20.350688880631832,1.7338273700352433e-07,2.8299632323560538e-05,Up
8044450,ZC3H6,1.8053499999999985,7.690508333333334,20.308939175539766,1.7585576516211404e-07,2.8560318964985044e-05,Up
7950391,PGM2L1,1.8682866666666664,8.008703333333333,20.294909376780133,1.7669582943647e-07,2.8560318964985044e-05,Up
7909503,SERTAD4,-1.5060266666666668,9.972220000000002,-20.28067021532569,1.7755311366645356e-07,2.8560318964985044e-05,Down
7998381,LMF1,1.2513433333333324,9.136361666666668,20.260441140931917,1.7877919798621382e-07,2.8619283439168083e-05,Up
8090162,ITGB5,-1.2476333333333316,10.804783333333333,-20.24421210852879,1.797698245923115e-07,2.8640171528469837e-05,Down
7922846,FAM129A,1.8086399999999956,10.770313333333334,20.213108908332483,1.8168592726868282e-07,2.8807601525073008e-05,Up
7944049,SIDT2,1.4752333333333365,10.810616666666666,20.194539086816693,1.8284101796736295e-07,2.885335248938049e-05,Up
7942832,DDIAS,-2.608473333333332,8.459716666666667,-20.161383317366365,1.849242856443953e-07,2.904445254293127e-05,Down
